,word,a_mean,v_mean,freq1,pos1,freq2,pos2,letter_count
1611,bureau,3.74,4.7,1636.0,n,19,NoC,6
1612,bureaucracy,3.74,3.24,1509.0,n,15,NoC,11
1618,burial,4.3,2.65,1052.0,n,11,NoC,6
1629,bus,3.83,5.12,6761.0,n,68,NoC,3
1631,bush,2.67,4.75,1933.0,n,17,NoC,4
1634,business,3.71,5.48,38204.0,n,394,NoC,8
1636,businessman,3.36,5.38,1895.0,n,20,NoC,11
1647,butter,3.37,6.36,2044.0,n,21,NoC,6
1649,butterfly,3.2,7.23,1136.0,n,11,NoC,9
1653,button,4.1,5.48,2503.0,n,26,NoC,6
1655,buyer,3.95,5.9,4285.0,n,44,NoC,5
1662,cab,4.05,4.81,1494.0,n,17,NoC,3
1668,cabin,3.74,5.9,1262.0,n,13,NoC,5
1669,cabinet,3.75,5.1,6900.0,n,69,NoC,7
1670,cable,3.52,5.9,2129.0,n,25,NoC,5
1680,cage,4.2,3.11,1100.0,n,13,NoC,4
1683,cake,5.33,7.58,3773.0,n,38,NoC,4
1687,calcium,3.14,5.7,1220.0,n,13,NoC,7
1689,calculation,4.48,5.33,2271.0,n,23,NoC,11
1692,calendar,2.9,5.53,1314.0,n,13,NoC,8
1693,calf,3.7,5.44,1047.0,n,11,NoC,4
1696,call,3.29,6.18,53396.0,v,92,NoC,4
1706,camera,3.05,6.61,3775.0,n,39,NoC,6
1709,camp,4.14,7.0,3957.0,n,43,NoC,4
1710,campaign,3.5,4.55,1400.0,v,105,NoC,8
1716,can,3.14,6.41,936.0,v,15,NoC,3
1718,canal,4.05,5.71,1858.0,n,26,NoC,5
1722,cancer,5.14,1.9,4323.0,n,47,NoC,6
1725,candidate,5.32,4.5,7618.0,n,80,NoC,9
1726,candle,3.81,6.14,1589.0,n,16,NoC,6
1747,canvas,2.7,5.67,1139.0,n,14,NoC,6
1750,cap,3.27,5.0,2379.0,n,26,NoC,3
1751,capability,4.29,6.63,1783.0,n,18,NoC,10
1753,capacity,3.67,5.14,6272.0,n,63,NoC,8
1755,capital,3.14,5.29,12188.0,n,138,NoC,7
1756,capitalism,5.39,3.62,1916.0,n,19,NoC,10
1762,captain,3.86,5.71,3744.0,n,56,NoC,7
1766,car,4.04,6.63,3170.0,v,353,NoC,3
1768,caravan,3.8,5.86,1281.0,n,13,NoC,7
1769,carbon,4.05,4.5,2470.0,n,25,NoC,6
1772,card,2.67,5.5,9632.0,n,96,NoC,4
1779,care,2.67,7.64,6298.0,v,198,NoC,4
1780,career,4.24,6.11,9441.0,n,94,NoC,6
1787,cargo,2.68,5.21,982.0,n,10,NoC,5
1799,carpet,2.77,5.95,3104.0,n,34,NoC,6
1802,carriage,2.52,6.1,2410.0,n,24,NoC,8
1803,carrier,2.96,5.19,1886.0,n,19,NoC,7
1807,cart,3.18,5.37,1064.0,n,12,NoC,4
1816,case,4.14,5.18,63577.0,n,613,NoC,4
1817,cash,6.59,7.51,8283.0,n,82,NoC,4
1824,cassette,3.77,5.36,1050.0,n,11,NoC,8
1825,cast,3.55,5.26,3882.0,v,11,NoC,4
1828,castle,4.72,6.42,3305.0,n,53,NoC,6
1832,casualty,6.3,3.33,1684.0,n,17,NoC,8
1833,cat,4.5,6.95,5377.0,n,55,NoC,3
1835,catalogue,3.73,4.85,2994.0,n,30,NoC,9
1842,catch,4.0,5.64,14627.0,v,11,NoC,5
1846,category,2.67,5.05,6566.0,n,67,NoC,8
1851,cathedral,3.45,6.0,2072.0,n,27,NoC,9
1856,cattle,2.64,5.42,2566.0,n,26,NoC,6
1860,cause,3.48,5.14,20091.0,v,99,NoC,5
1861,caution,4.0,3.29,1335.0,n,13,NoC,7
1865,cave,4.39,5.15,1413.0,n,16,NoC,4
1874,ceiling,2.75,5.39,2715.0,n,27,NoC,7
